Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed,Day_Forecast,Night_Forecast,Next_Day_Forecast,Next_Night_Forecast
Location and sub-locations,Observed Conditions,Friday,Friday night,Saturday,Saturday night,Unnamed: 6_level_1,,,,,,
Airdrie,2 Low Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,,"Airdrie, ab, Canada",Low,4,4,4,4
Brooks,2 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Brooks, ab, Canada",Low,3,3,3,3
Calgary,3 Low Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,,"Calgary, ab, Canada",Low,4,4,4,4
Cold Lake,2 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Cold Lake, ab, Canada",Low,3,3,2,2
Drayton Valley,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Drayton Valley, ab, Canada",Low,3,3,3,3
Edmonton,3 Low Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,,"Edmonton, ab, Canada",Low,4,4,4,4
Edson,2 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Edson, ab, Canada",Low,3,3,3,3
Fort Chipewyan,2 Low Risk,10+ Very High Risk,10+ Very High Risk,4 Moderate Risk,4 Moderate Risk,,"Fort Chipewyan, ab, Canada",Low,10+,10+,4,4
Fort McKay,2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,2 Low Risk,,"Fort McKay, ab, Canada",Low,2,2,3,2
Fort McMurray,2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,2 Low Risk,,"Fort McMurray, ab, Canada",Low,2,2,3,2
Fort Saskatchewan,3 Low Risk,3 Low Risk,2 Low Risk,3 Low Risk,3 Low Risk,,"Fort Saskatchewan, ab, Canada",Low,3,2,3,3
Genesee,2 Low Risk,4 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Genesee, ab, Canada",Low,4,4,3,3
Grande Prairie,3 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Grande Prairie, ab, Canada",Low,3,3,2,2
Hinton,2 Low Risk,3 Low Risk,3 Low Risk,2 Low Risk,2 Low Risk,,"Hinton, ab, Canada",Low,3,3,2,2
Lamont County,3 Low Risk,3 Low Risk,2 Low Risk,3 Low Risk,3 Low Risk,,"Lamont County, ab, Canada",Low,3,2,3,3
Lethbridge,2 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Lethbridge, ab, Canada",Low,3,3,3,3
Medicine Hat,2 Low Risk,4 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Medicine Hat, ab, Canada",Low,4,4,3,3
Red Deer,2 Low Risk,3 Low Risk,3 Low Risk,4 Moderate Risk,4 Moderate Risk,,"Red Deer, ab, Canada",Low,3,3,4,4
St. Albert,3 Low Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,,"St. Albert, ab, Canada",Low,4,4,4,4
Strathcona County,3 Low Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,4 Moderate Risk,,"Strathcona County, ab, Canada",Low,4,4,4,4
Sturgeon County,3 Low Risk,3 Low Risk,2 Low Risk,3 Low Risk,3 Low Risk,,"Sturgeon County, ab, Canada",Low,3,2,3,3
Wood Buffalo - south,2 Low Risk,2 Low Risk,2 Low Risk,3 Low Risk,2 Low Risk,,"Wood Buffalo - south, ab, Canada",Low,2,2,3,2
