Location and sub-locations,Observed Conditions,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Forecast Maximums,Location,Observed
Location and sub-locations,Observed Conditions,Wednesday,Wednesday night,Thursday,Thursday night,Unnamed: 6_level_1,,
Barrie,4 Moderate Risk,5 Moderate Risk,3 Low Risk,2 Low Risk,3 Low Risk,,"Barrie, on, Canada",Moderate Risk
Belleville,3 Low Risk,6 Moderate Risk,5 Moderate Risk,2 Low Risk,2 Low Risk,,"Belleville, on, Canada",Low Risk
Brampton,5 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Brampton, on, Canada",Moderate Risk
Brantford,4 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Brantford, on, Canada",Moderate Risk
Burlington,5 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Burlington, on, Canada",Moderate Risk
Chatham,4 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Chatham, on, Canada",Moderate Risk
Cornwall,4 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,2 Low Risk,,"Cornwall, on, Canada",Moderate Risk
Dorset,4 Moderate Risk,5 Moderate Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Dorset, on, Canada",Moderate Risk
Grand Bend,5 Moderate Risk,5 Moderate Risk,2 Low Risk,3 Low Risk,3 Low Risk,,"Grand Bend, on, Canada",Moderate Risk
Guelph,5 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Guelph, on, Canada",Moderate Risk
Hamilton,4 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Hamilton, on, Canada",Moderate Risk
Hamilton Downtown,4 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Hamilton Downtown, on, Canada",Moderate Risk
Hamilton Mountain,4 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Hamilton Mountain, on, Canada",Moderate Risk
Hamilton West,4 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Hamilton West, on, Canada",Moderate Risk
Kingston,4 Moderate Risk,6 Moderate Risk,5 Moderate Risk,2 Low Risk,2 Low Risk,,"Kingston, on, Canada",Moderate Risk
Kitchener,5 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Kitchener, on, Canada",Moderate Risk
London,5 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"London, on, Canada",Moderate Risk
Milton,5 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Milton, on, Canada",Moderate Risk
Mississauga,5 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Mississauga, on, Canada",Moderate Risk
Newmarket,5 Moderate Risk,5 Moderate Risk,3 Low Risk,2 Low Risk,3 Low Risk,,"Newmarket, on, Canada",Moderate Risk
North Bay,4 Moderate Risk,5 Moderate Risk,3 Low Risk,3 Low Risk,2 Low Risk,,"North Bay, on, Canada",Moderate Risk
Oakville,5 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Oakville, on, Canada",Moderate Risk
Oshawa,5 Moderate Risk,6 Moderate Risk,5 Moderate Risk,3 Low Risk,3 Low Risk,,"Oshawa, on, Canada",Moderate Risk
Ottawa,4 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,2 Low Risk,,"Ottawa, on, Canada",Moderate Risk
Parry Sound,5 Moderate Risk,5 Moderate Risk,3 Low Risk,3 Low Risk,3 Low Risk,,"Parry Sound, on, Canada",Moderate Risk
Peterborough,5 Moderate Risk,6 Moderate Risk,5 Moderate Risk,2 Low Risk,2 Low Risk,,"Peterborough, on, Canada",Moderate Risk
Port Stanley,5 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"Port Stanley, on, Canada",Moderate Risk
Sarnia,5 Moderate Risk,5 Moderate Risk,2 Low Risk,3 Low Risk,3 Low Risk,,"Sarnia, on, Canada",Moderate Risk
Sault Ste. Marie,8 High Risk,10 High Risk,4 Moderate Risk,3 Low Risk,4 Moderate Risk,,"Sault Ste. Marie, on, Canada",High Risk
St. Catharines,4 Moderate Risk,5 Moderate Risk,4 Moderate Risk,3 Low Risk,3 Low Risk,,"St. Catharines, on, Canada",Moderate Risk
Sudbury,2 Low Risk,5 Moderate Risk,3 Low Risk,2 Low Risk,3 Low Risk,,"Sudbury, on, Canada",Low Risk
Thunder Bay,3 Low Risk,4 Moderate Risk,2 Low Risk,3 Low Risk,4 Moderate Risk,,"Thunder Bay, on, Canada",Low Risk
Tiverton,4 Moderate Risk,5 Moderate Risk,2 Low Risk,3 Low Risk,3 Low Risk,,"Tiverton, on, Canada",Moderate Risk
Toronto,5 Moderate Risk,6 Moderate Risk,5 Moderate Risk,3 Low Risk,3 Low Risk,,"Toronto, on, Canada",Moderate Risk
Toronto Downtown,5 Moderate Risk,6 Moderate Risk,5 Moderate Risk,3 Low Risk,3 Low Risk,,"Toronto Downtown, on, Canada",Moderate Risk
Toronto East,5 Moderate Risk,6 Moderate Risk,5 Moderate Risk,3 Low Risk,3 Low Risk,,"Toronto East, on, Canada",Moderate Risk
Toronto North,5 Moderate Risk,6 Moderate Risk,5 Moderate Risk,3 Low Risk,3 Low Risk,,"Toronto North, on, Canada",Moderate Risk
Toronto West,5 Moderate Risk,6 Moderate Risk,5 Moderate Risk,3 Low Risk,3 Low Risk,,"Toronto West, on, Canada",Moderate Risk
Windsor,4 Moderate Risk,6 Moderate Risk,5 Moderate Risk,4 Moderate Risk,4 Moderate Risk,,"Windsor, on, Canada",Moderate Risk
Windsor Downtown,4 Moderate Risk,6 Moderate Risk,5 Moderate Risk,4 Moderate Risk,4 Moderate Risk,,"Windsor Downtown, on, Canada",Moderate Risk
Windsor West,4 Moderate Risk,6 Moderate Risk,5 Moderate Risk,4 Moderate Risk,4 Moderate Risk,,"Windsor West, on, Canada",Moderate Risk
